NCTId,Condition,InterventionName,InterventionType,SponsorName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,StartDate,CompletionDate,Enrollment,EligibilityMinimumAge,EligibilityMaximumAge,StudyType,GenderEligibility,Modality,Target
NCT05851066,"Dyslipidemias, Familial Hypercholesterolemia, Hypertriglyceridemia","VSA003, 0.9% NaCl","DRUG, DRUG",Visirna Therapeutics HK Limited,Frequency and severity of adverse event (AE) and serious adverse event (SAE),"Maximum observed concentration (Cmax) of VSA003, Time of occurrence of Cmax (tmax) of VSA003, Apparent terminal phase half-life (t1/2) of VSA003, Area under the concentration-time curve from time zero (pre-dose) to the last quantifiable concentration (AUC0-t) of VSA003, Apparent clearance (CL/F) of VSA003, Apparent terminal phase volume of distribution (Vz/F) of VSA003, Change of fasting serum ANGPTL3 from pre-dose baseline, Anti-drug Antibodies (ADA) to VSA003",2023-06-01,2023-12-01,36.0,18.0,55.0,INTERVENTIONAL,ALL,Small molecule,Unknown
NCT02729857,"Healthy, Familial Hypercholesterolemia","SFA muffin, PUFA muffin","DIETARY_SUPPLEMENT, DIETARY_SUPPLEMENT",University of Oslo,Change in levels of circulating triglycerides,"Changes in markers of lipid- and glucose metabolism, Changes in circulating levels of inflammatory markers, Changes in PBMC gene expression levels of markers of inflammation and lipid metabolism, Changes in lipid classes and lipoprotein size, Changes in plasma and urine metabolomics, Check DNA for single nuclear polymorphisms, Changes in PBMC Whole genome transcriptomics",2016-03-01,2016-06-01,31.0,18.0,30.0,INTERVENTIONAL,ALL,Small molecule,Fatty acid synthase
NCT01890967,Hypercholesterolemia,"LY3015014, Placebo, Statin, Ezetimibe","DRUG, DRUG, DRUG, DRUG",Eli Lilly and Company,Percentage Change From Baseline in Low-Density Lipoprotein Cholesterol (LDL-C),"Percentage Change From Baseline in LDL-C, Total Cholesterol (TC), High-Density Lipoprotein Cholesterol (HDL-C), Triglycerides (TG), Non-HDL-C, Percentage Change From Baseline in Apolipoprotein A1 (Apo A1), Apolipoprotein B (Apo B), Percentage Change From Baseline in Lipoprotein(a) [Lp(a)], Change From Baseline in High Sensitivity C-Reactive Protein (hsCRP), Number of Participants Who Develop Treatment Emergent Anti-LY3015014 Antibodies, Percentage Change From Baseline in Total Proprotein Convertase Subtilisin/Kexin Type 9 Antibody (PCSK9) Levels, Percentage Change From Baseline in Free Proprotein Convertase Subtilisin/Kexin Type 9 Antibody (PCSK9) Levels, Pharmacokinetics (PK): Area Under the Concentration-Time Curve at Steady-State (AUC,ss) for LY3015014, Number of Participants With an Injection Site Reaction",2013-06-01,2014-06-01,527.0,18.0,80.0,INTERVENTIONAL,ALL,Small molecule,Cannabinoid receptor type 1 (CB1)
NCT01350960,Hypercholesterolemia,"SPC5001, Saline 0.9%, SPC5001, SPC5001, SPC5001, SPC5001","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG",Santaris Pharma A/S,Safety and Tolerability,"Peak Plasma Concentration (Cmax) of SPC5001, Lipid lowering effect, Area under the plasma concentration versus time curve (AUC) of SPC5001",2011-05-01,2011-11-01,24.0,18.0,65.0,INTERVENTIONAL,ALL,Small molecule,Unknown
NCT01507831,Hypercholesterolemia,"Placebo (for alirocumab), Alirocumab, Lipid-Modifying Therapy (LMT)","DRUG, DRUG, DRUG",Sanofi,Percentage of Participants Who Experienced Adverse Events (AEs),"Percent Change From Baseline in Calculated LDL-C at Week 24 - Intent-to-Treat (ITT) Analysis, Percent Change From Baseline in Calculated LDL-C at Week 24 - On-Treatment Analysis, Percent Change From Baseline in Calculated LDL-C at Week 12 - ITT Analysis, Percent Change From Baseline in Calculated LDL-C at Week 12 - On-treatment Analysis, Percent Change From Baseline in Measured LDL-C at Week 24 - ITT Analysis, Percent Change From Baseline in Apolipoprotein (Apo) B at Week 24 - ITT Analysis, Percent Change From Baseline in Apo B at Week 24 - On-Treatment Analysis, Percent Change From Baseline in Non-High Density Lipoprotein Cholesterol (Non-HDL-C) at Week 24 - ITT Analysis, Percent Change From Baseline in Non-HDL-C at Week 24 - On-Treatment Analysis, Percent Change From Baseline in Total Cholesterol (Total-C) at Week 24 - ITT Analysis, Percent Change From Baseline in Apo B at Week 12 - ITT Analysis, Percent Change From Baseline in Non-HDL-C at Week 12 - ITT Analysis, Percent Change From Baseline in Total-C at Week 12 - ITT Analysis, Percentage of Very High Cardiovascular (CV) Risk Participants Reaching Calculated LDL-C <70 mg/dL (1.81 mmol/L) or High CV Risk Participants Reaching Calculated LDL-C <100 mg/dL (2.59 mmol/L) at Week 24 - ITT Analysis, Percentage of Very High CV Risk Participants Reaching Calculated LDL-C <70 mg/dL (1.81 mmol/L) or High CV Risk Participants Reaching Calculated LDL-C <100 mg/dL (2.59 mmol/L) at Week 24 - On-Treatment Analysis, Percentage of Participants Reaching Calculated LDL-C <70 mg/dL (1.81 mmol/L) at Week 24 - ITT Analysis, Percentage of Participants Reaching Calculated LDL-C <70 mg/dL (1.81 mmol/L) at Week 24 - On-Treatment Analysis, Percent Change From Baseline in Lipoprotein (a) at Week 24 - ITT Analysis, Percent Change From Baseline in HDL-C at Week 24 - ITT Analysis, Percent Change From Baseline in Fasting Triglycerides at Week 24 - ITT Analysis, Percent Change From Baseline in Apo A1 at Week 24 - ITT Analysis, Percent Change From Baseline in Lipoprotein (a) at Week 12 - ITT Analysis, Percent Change From Baseline in HDL-C at Week 12 - ITT Analysis, Percent Change From Baseline in Fasting Triglycerides at Week 12 - ITT Analysis, Percent Change From Baseline in Apo A1 at Week 12 - ITT Analysis",2012-01-01,2014-11-01,2341.0,18.0,,INTERVENTIONAL,ALL,Placebo,Alirocumab
NCT01725074,"Coronary Heart Disease, Multimorbidity","Case Management ""CM CHD"", Social Interaction","BEHAVIORAL, BEHAVIORAL",Genossenschaft Gesundheitsprojekt Mannheim e.G,"Change in health outcomes, Change in quality of life","Change in Loneliness, Change in Depression, Change in self-efficacy, Change in social support, Change in health locus of control, Change in lifestyle behavior, Change in social network of family and friends, Change in outcome expectancies, Change in vulnerability, Change in intention, Change in severity, Change in health worries, Change in cognitive functions",2011-07-01,2013-03-01,320.0,30.0,,INTERVENTIONAL,ALL,Case Management,CHD
NCT01266876,Hypercholesterolemia,"Alirocumab, Placebo","DRUG, DRUG",Regeneron Pharmaceuticals,Percent Change From Baseline in Calculated LDL-C at Week 12 - On-treatment Analysis,"Absolute Change From Baseline in Calculated LDL-C at Week 12 - On-treatment Analysis, Percentage of Participants Achieving Calculated LDL-C <100 mg/dL (2.59 mmol/L) at Week 12 - On-treatment Analysis, Percentage of Participants Achieving LDL-C < 70 mg/dL (1.81 mmol/L) at Week 12 - On-treatment Analysis, Percent Change From Baseline in Total Cholesterol at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Total Cholesterol at Week 12 - On-treatment Analysis, Percent Change From Baseline in High Density Lipoprotein Cholesterol (HDL-C) at Week 12 - On-treatment Analysis, Absolute Change From Baseline in HDL-C at Week 12 - On-treatment Analysis, Percent Change From Baseline in Triglycerides at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Triglycerides at Week at 12 - On-treatment Analysis, Percent Change From Baseline in Non-HDL-C at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Non-HDL-C at Week 12 - On-treatment Analysis, Percent Change From Baseline in Apo Lipoprotein B (Apo-B) at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Apo-B at Week 12 - On-treatment Analysis, Percent Change From Baseline in Apolipoprotein - A1 (Apo-A1) at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Apo-A1 at Week 12 - On-treatment Analysis, Absolute Change in the Ratio ApoB/ApoA-1 From Baseline to Week 12 - On-treatment Analysis, Percent Change From Baseline in Lipoprotein(a) at Week 12 - On-treatment Analysis, Absolute Change From Baseline in Lipoprotein(a) at Week 12 - On-treatment Analysis",2011-01-01,2011-11-01,77.0,18.0,75.0,INTERVENTIONAL,ALL,Monoclonal antibody,PCSK9
NCT06555120,"Hypercholesterolemia, Familial",blood sample,BIOLOGICAL,"Centre Hospitalier Universitaire, Amiens",prevalence of hypercholesterolemia in children in the general population,,2024-10-01,2026-02-01,300.0,2.0,18.0,INTERVENTIONAL,ALL,Diagnostic,Blood
NCT01521780,Hepatocellular Carcinoma,"MRI, Pathology, Blood Samples, Blood Samples","PROCEDURE, PROCEDURE, PROCEDURE, PROCEDURE",Merck Sharp & Dohme LLC,"Expression Levels of Beta-catenin mRNA From Core Needle Biopsy (CNB) Equivalents of Resected HCC., Expression Levels of Beta-catenin Protein From Core Needle Biopsy (CNB) Equivalents of Resected HCC.","Tumor Volumes From Repeated MRI Measurements of HCC., Median Apparent Diffusion Coefficient (Median ADC) of Tumors From Repeated MRI Measurements of HCC., Expression Levels of Beta-catenin mRNA From CNB Equivalents of Liver Adjacent to HCC., Expression Levels of Beta-catenin Protein From CNB Equivalents of Liver Adjacent to HCC., Expression Levels of Low Density Lipoprotein Receptor (LDL-R) in Resected HCC and Adjacent Liver From Whole Tissue Sections.",2012-04-01,2012-11-01,12.0,18.0,,INTERVENTIONAL,ALL,Imaging,N/A
NCT01419262,"Respiratory Tract Infections, Asthma, Avitaminosis","Vitamin D - Cholecalciferol 400 IU, Vitamin D3 - Cholecalciferol 2000 IU","DRUG, DRUG",The Hospital for Sick Children,Number of Laboratory confirmed upper respiratory tract infections,"Number of parent reported upper respiratory tract infections, Number of Asthma exacerbations, Serum vitamin D level, Direct and indirect economic costs associated with upper respiratory tract infections",2011-09-01,2015-10-01,703.0,1.0,5.0,INTERVENTIONAL,ALL,Vitamin,Cholecalciferol
